연도,월,지역,분류축,분류값,지표,값,단위,시간단위,월_결측유형,출처파일
2016,,강원,전체,전체,발생건수,448,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,경기남부,전체,전체,발생건수,2407,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,경기북부,전체,전체,발생건수,872,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,경남,전체,전체,발생건수,307,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,경북,전체,전체,발생건수,1085,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,광주,전체,전체,발생건수,194,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,대구,전체,전체,발생건수,651,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,대전,전체,전체,발생건수,514,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,부산,전체,전체,발생건수,848,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,서울,전체,전체,발생건수,5593,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,세종,전체,전체,발생건수,0,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,울산,전체,전체,발생건수,502,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,인천,전체,전체,발생건수,1138,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,전국,사기유형,기관사칭형,검거인원,5682,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,기관사칭형,발생건수,3384,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,기관사칭형,피해액,541,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,검거인원,9884,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,발생건수,13656,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,피해액,927,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,성별,남성,피해자수,8660,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2016,,전국,성별,여성,피해자수,8380,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2016,,전국,연령대,20대이하,피해자수,3209,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전국,연령대,30대,피해자수,3735,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전국,연령대,40대,피해자수,4542,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전국,연령대,50대,피해자수,3834,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전국,연령대,60대,피해자수,1261,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전국,연령대,70대이상,피해자수,459,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2016,,전남,전체,전체,발생건수,370,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,전북,전체,전체,발생건수,567,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,제주,전체,전체,발생건수,302,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,충남,전체,전체,발생건수,744,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2016,,충북,전체,전체,발생건수,498,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,강원,전체,전체,발생건수,402,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,경기남부,전체,전체,발생건수,3976,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,경기북부,전체,전체,발생건수,1648,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,경남,전체,전체,발생건수,433,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,경북,전체,전체,발생건수,1398,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,광주,전체,전체,발생건수,207,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,대구,전체,전체,발생건수,657,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,대전,전체,전체,발생건수,934,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,부산,전체,전체,발생건수,1343,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,서울,전체,전체,발생건수,7764,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
