연도,월,지역,분류축,분류값,지표,값,단위,출처파일
2016,,전국,사기유형,기관사칭형,검거인원,5682,명,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,기관사칭형,발생건수,3384,건,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,기관사칭형,피해액,541,억원,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,검거인원,9884,명,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,발생건수,13656,건,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,사기유형,대출사기형,피해액,927,억원,경찰청_보이스피싱 현황_20251231.csv
2016,,전국,성별,남성,피해자수,8660,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2016,,전국,성별,여성,피해자수,8380,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2016,,전국,연령대,20대이하,피해자수,3209,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2016,,전국,연령대,30대,피해자수,3735,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2016,,전국,연령대,40대,피해자수,4542,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2016,,전국,연령대,50대,피해자수,3834,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2016,,전국,연령대,60대,피해자수,1261,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2016,,전국,연령대,70대이상,피해자수,459,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,사기유형,기관사칭형,검거인원,4925,명,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,기관사칭형,발생건수,5685,건,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,기관사칭형,피해액,967,억원,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,검거인원,20548,명,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,발생건수,18574,건,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,피해액,1503,억원,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,성별,남성,피해자수,11391,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2017,,전국,성별,여성,피해자수,12868,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2017,,전국,연령대,20대이하,피해자수,5273,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,연령대,30대,피해자수,4887,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,연령대,40대,피해자수,6473,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,연령대,50대,피해자수,5412,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,연령대,60대,피해자수,1807,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2017,,전국,연령대,70대이상,피해자수,407,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,1,전국,전체,전체,발생건수,3035,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,2,전국,전체,전체,발생건수,2254,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,3,전국,전체,전체,발생건수,2989,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,4,전국,전체,전체,발생건수,2918,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,5,전국,전체,전체,발생건수,2600,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,6,전국,전체,전체,발생건수,2542,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,7,전국,전체,전체,발생건수,3009,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,8,전국,전체,전체,발생건수,2890,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,9,전국,전체,전체,발생건수,2639,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,10,전국,전체,전체,발생건수,2605,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,11,전국,전체,전체,발생건수,3537,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,12,전국,전체,전체,발생건수,3114,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,,전국,사기유형,기관사칭형,검거인원,5491,명,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,기관사칭형,발생건수,6221,건,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,기관사칭형,피해액,1430,억원,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,검거인원,32133,명,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,발생건수,27911,건,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,피해액,2610,억원,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,성별,남성,피해자수,17673,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2018,,전국,성별,여성,피해자수,16459,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2018,,전국,연령대,20대이하,피해자수,4480,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,,전국,연령대,30대,피해자수,6483,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,,전국,연령대,40대,피해자수,9842,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,,전국,연령대,50대,피해자수,9313,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,,전국,연령대,60대,피해자수,3389,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2018,,전국,연령대,70대이상,피해자수,625,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,1,전국,전체,전체,발생건수,3529,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,2,전국,전체,전체,발생건수,2419,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,3,전국,전체,전체,발생건수,3967,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,4,전국,전체,전체,발생건수,3540,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,5,전국,전체,전체,발생건수,3329,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,6,전국,전체,전체,발생건수,3044,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,7,전국,전체,전체,발생건수,3132,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,8,전국,전체,전체,발생건수,2885,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,9,전국,전체,전체,발생건수,2482,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,10,전국,전체,전체,발생건수,2674,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,11,전국,전체,전체,발생건수,3214,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,12,전국,전체,전체,발생건수,3452,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,,전국,사기유형,기관사칭형,검거인원,6045,명,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,기관사칭형,발생건수,7219,건,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,기관사칭형,피해액,2506,억원,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,대출사기형,검거인원,42668,명,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,대출사기형,발생건수,30448,건,경찰청_보이스피싱 현황_20251231.csv
