연령대,피해자 성별,최초 접수년,최초 접수월,피해액,사기유형,사칭기관,피해구제 신청사유,접근매체,자료기준일,원본파일,중복후보,전화_보이스피싱
50,여,2025,7,20000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
70,여,2025,7,20500000,사건연루조사,"금감원, 금융위",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
70,남,2025,7,24000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
60,남,2025,7,360000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
60,남,2025,7,1000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
60,남,2025,7,6000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
20,남,2025,7,210000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
20,남,2025,7,3000000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
30,여,2025,7,100000000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,True
30,여,2025,7,100000000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,True
60,여,2025,7,9950000,카드배송사칭,"금감원, 금융위",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
40,여,2025,7,500000,가족납치.상해 협박,개인,보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
50,남,2025,7,10000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
20,남,2025,7,171800000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
70,여,2025,7,30000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,False
20,여,2025,7,500000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,True
60,남,2025,7,176700000,카드배송사칭,할부금융(카드사 및 캐피탈),보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
70,여,2025,7,30000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,False
50,여,2025,7,23400000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
40,여,2025,7,300016,가족납치.상해 협박,개인,보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
50,여,2025,7,300000,가족납치.상해 협박,기타,보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,True
40,여,2025,7,20000000,투자사기,금융투자업자,투자사기,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,False,False
20,남,2025,7,500000,사건연루조사,"경찰, 검찰, 법원",보이스피싱,전화,20251231,우체국금융개발원_우체국 금융 사기계좌 정보_20251231.csv,True,True
