사칭세부유형,사건수,전체사건대비_pct,사칭탐지사건중_pct,표시명
BANK,199,25.644329896907216,40.2834008097166,은행
PROSECUTION,84,10.824742268041238,17.004048582995953,검찰
MULTI_TIE,75,9.664948453608247,15.182186234817814,복수유형 공동 1위
CARD_COMPANY,44,5.670103092783505,8.906882591093118,카드사
POLICE,34,4.381443298969072,6.882591093117409,경찰
LOAN_COMPANY,19,2.448453608247423,3.8461538461538463,대출업체
CAPITAL_COMPANY,16,2.0618556701030926,3.2388663967611335,캐피탈
ACQUAINTANCE,8,1.0309278350515463,1.6194331983805667,지인
KIDNAPPING_CLAIM,4,0.5154639175257731,0.8097165991902834,납치 주장
COURT,4,0.5154639175257731,0.8097165991902834,법원
FSS,4,0.5154639175257731,0.8097165991902834,금융감독원
TELECOM_COMPANY,2,0.25773195876288657,0.4048582995951417,통신사
POST_OFFICE,1,0.12886597938144329,0.20242914979757085,우체국
NO_IMPERSONATION,282,36.340206185567006,,대표 사칭 없음
