case_id,window_start,window_end,future_end,progress_pct,phase,recent_impersonation_count,recent_impersonation_diversity,recent_strategy_count,recent_strategy_diversity,recent_action_count,recent_continue_question_count,recent_alert_question_count,recent_offender_turn_share,current_risky_action_count,future_risky_action_count,future_risk,has_impersonation,has_continue_question,has_alert_question,has_authority,has_urgency,has_fear,has_legitimacy,has_money_request,has_info_extraction,signal_count
vp_130761_case_001,1,10,20,13.636363636363635,초반,2,1,3,2,0,0,1,0.8,0,0,0,1,0,1,1,0,0,1,0,0,4
vp_130761_case_001,6,15,25,21.21212121212121,초반,1,1,2,2,0,0,2,0.8,0,0,0,1,0,1,1,0,0,1,0,0,4
vp_130761_case_001,11,20,30,28.78787878787879,초반,0,0,0,0,0,1,2,0.5,0,0,0,0,1,1,0,0,0,0,0,0,2
vp_130761_case_001,16,25,35,36.36363636363637,중반,0,0,0,0,0,2,1,0.5,0,0,0,0,1,1,0,0,0,0,0,0,2
vp_130761_case_001,21,30,40,43.93939393939394,중반,0,0,0,0,0,3,1,0.6,0,0,0,0,1,1,0,0,0,0,0,0,2
vp_130761_case_001,26,35,45,51.515151515151516,중반,0,0,1,1,0,2,0,0.8,0,0,0,0,1,0,0,0,0,1,0,0,2
vp_130761_case_001,31,40,50,59.09090909090909,중반,0,0,2,2,0,1,0,0.9,0,0,0,0,1,0,1,0,0,1,0,0,3
vp_130761_case_001,36,45,55,66.66666666666666,후반,0,0,1,1,0,1,0,0.9,0,0,0,0,1,0,1,0,0,0,0,0,2
vp_130761_case_001,41,50,60,74.24242424242425,후반,0,0,1,1,0,0,0,0.9,0,0,0,0,0,0,0,0,1,0,0,0,1
vp_130761_case_001,46,55,65,81.81818181818183,후반,0,0,1,1,0,0,0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,1
vp_130761_case_001,51,60,67,89.39393939393939,후반,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
vp_130761_case_001,56,65,67,96.96969696969697,후반,0,0,0,0,0,0,1,0.6,0,0,0,0,0,1,0,0,0,0,0,0,1
vp_130762_case_001,1,10,20,29.03225806451613,초반,0,0,3,2,0,1,1,0.5,0,0,0,0,1,1,0,1,0,1,0,0,4
vp_130762_case_001,6,15,25,45.16129032258064,중반,0,0,2,1,0,1,1,0.7,0,0,0,0,1,1,0,1,0,0,0,0,3
vp_130762_case_001,11,20,30,61.29032258064516,중반,0,0,3,2,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
vp_130762_case_001,16,25,32,77.41935483870968,후반,0,0,3,2,0,1,0,0.7,0,0,0,0,1,0,0,1,0,0,0,0,2
vp_130762_case_001,21,30,32,93.54838709677419,후반,0,0,3,1,0,1,0,0.6,0,0,0,0,1,0,0,1,0,0,0,0,2
vp_130762_case_002,7,19,27,52.94117647058824,중반,1,1,8,4,0,0,0,1.0,0,0,0,1,0,0,1,1,1,1,0,0,5
vp_130762_case_002,13,24,27,82.35294117647058,후반,1,1,5,3,0,0,0,1.0,0,0,0,1,0,0,1,1,1,0,0,0,4
vp_130764_case_001,1,10,20,26.47058823529412,초반,1,1,5,3,0,3,0,0.6,0,0,0,1,1,0,0,1,1,1,0,0,5
vp_130764_case_001,6,15,25,41.17647058823529,중반,0,0,6,3,0,2,0,0.6,0,0,0,0,1,0,0,1,1,1,0,0,4
vp_130764_case_001,11,20,30,55.88235294117647,중반,0,0,7,3,0,2,0,0.7,0,0,0,0,1,0,0,1,1,1,0,0,4
vp_130764_case_001,16,25,35,70.58823529411765,후반,0,0,12,3,0,2,1,0.7,0,0,0,0,1,1,0,1,1,1,0,0,5
