case_id,first_signal_turn,first_risk_turn,lead_turns,신호
vp_130780_case_001,30.0,33,3.0,사칭
vp_130783_case_001,9.0,11,2.0,사칭
vp_130784_case_001,9.0,26,17.0,사칭
vp_18245_case_001,2.0,16,14.0,사칭
vp_18247_case_001,2.0,26,24.0,사칭
vp_18252_case_002,9.0,11,2.0,사칭
vp_18261_case_001,3.0,5,2.0,사칭
vp_18265_case_001,5.0,28,23.0,사칭
vp_18270_case_001,1.0,17,16.0,사칭
vp_18270_case_002,1.0,19,18.0,사칭
vp_18274_case_001,2.0,27,25.0,사칭
vp_18275_case_003,6.0,37,31.0,사칭
vp_18280_case_002,2.0,3,1.0,사칭
vp_18282_case_003,24.0,40,16.0,사칭
vp_18284_case_001,6.0,23,17.0,사칭
vp_18284_case_002,21.0,23,2.0,사칭
vp_18286_case_001,12.0,13,1.0,사칭
vp_18287_case_001,7.0,30,23.0,사칭
vp_18293_case_001,6.0,7,1.0,사칭
vp_18294_case_002,6.0,16,10.0,사칭
vp_18295_case_002,17.0,45,28.0,사칭
vp_18297_case_002,4.0,14,10.0,사칭
vp_18302_case_001,3.0,21,18.0,사칭
vp_18305_case_003,1.0,6,5.0,사칭
vp_18309_case_001,5.0,15,10.0,사칭
vp_18311_case_001,2.0,41,39.0,사칭
vp_18315_case_001,21.0,32,11.0,사칭
vp_18320_case_001,1.0,2,1.0,사칭
vp_217131_case_002,4.0,16,12.0,사칭
vp_217132_case_001,14.0,58,44.0,사칭
vp_36337_case_001,1.0,12,11.0,사칭
vp_36339_case_005,2.0,13,11.0,사칭
vp_36343_case_001,9.0,42,33.0,사칭
vp_36344_case_001,2.0,21,19.0,사칭
vp_36345_case_001,1.0,71,70.0,사칭
vp_36348_case_001,2.0,14,12.0,사칭
vp_36354_case_001,7.0,21,14.0,사칭
vp_36364_case_001,1.0,3,2.0,사칭
vp_36365_case_002,4.0,18,14.0,사칭
vp_36368_case_001,5.0,89,84.0,사칭
vp_36368_case_002,7.0,65,58.0,사칭
vp_36369_case_001,8.0,49,41.0,사칭
vp_36369_case_002,5.0,18,13.0,사칭
vp_36369_case_006,27.0,37,10.0,사칭
vp_36371_case_002,14.0,21,7.0,사칭
