phase,signal_count_group,window수,이후_고위험행동률,이후_고위험행동률_pct
중반,0,195,0.06153846153846154,6.153846153846154
중반,1,378,0.07407407407407407,7.4074074074074066
중반,2,410,0.1,10.0
중반,3,279,0.12544802867383512,12.544802867383511
중반,4,154,0.11688311688311688,11.688311688311687
중반,5,78,0.07692307692307693,7.6923076923076925
초반,0,115,0.06956521739130435,6.956521739130435
초반,1,185,0.08648648648648649,8.64864864864865
초반,2,270,0.1,10.0
초반,3,193,0.10362694300518134,10.362694300518134
초반,4,128,0.109375,10.9375
초반,5,62,0.11290322580645161,11.29032258064516
후반,0,246,0.04878048780487805,4.878048780487805
후반,1,438,0.0684931506849315,6.8493150684931505
후반,2,414,0.050724637681159424,5.072463768115942
후반,3,267,0.056179775280898875,5.617977528089887
후반,4,129,0.023255813953488372,2.3255813953488373
후반,5,61,0.04918032786885246,4.918032786885246
