source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36337_case_001,0,1,0,1,0,0,0,2,0,3,0,0,1,test
vp_36338_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36341_case_001,1,0,1,1,0,0,0,1,0,2,1,0,1,train
vp_36344_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36366_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36463_case_001,1,0,0,0,0,0,0,2,1,3,0,0,1,train
vp_36463_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36463_case_003,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36464_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36464_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36504_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36505_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36505_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36506_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36506_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36506_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36506_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36506_case_005,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36507_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36508_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36509_case_001,1,0,0,0,0,0,0,2,0,1,0,0,1,train
vp_36509_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36510_case_001,0,0,0,0,0,0,0,2,0,1,0,0,1,test
vp_36511_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36512_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36512_case_002,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36513_case_001,1,1,1,0,0,0,0,3,0,4,1,0,1,train
vp_36513_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36514_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
