window_id,source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,signal_family_count_delta_sem,y_phishing,split,window_count_in_case,sample_weight_case_equal
normal_21-1_bk_01_000455__w0000,normal_21-1_bk_01_000455,0,1,0,1,0,0,0,1,0,0,0,0.0,0,train,2,0.5
normal_21-1_bk_01_000455__w0001,normal_21-1_bk_01_000455,0,1,0,0,0,0,0,1,0,0,0,-1.0,0,train,2,0.5
normal_21-1_bk_01_003183__w0000,normal_21-1_bk_01_003183,0,0,0,1,1,0,1,1,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_003183__w0001,normal_21-1_bk_01_003183,0,0,0,0,1,0,1,1,1,0,0,-1.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_003183__w0002,normal_21-1_bk_01_003183,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_005083__w0000,normal_21-1_bk_01_005083,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0001,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0002,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0003,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0004,normal_21-1_bk_01_005083,0,0,0,0,1,0,1,1,1,0,0,2.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0005,normal_21-1_bk_01_005083,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0006,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,9,0.1111111111111111
