시도청,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년
서울,5593,7764,9972,10494,9049,7997,6245,5865,5215,6029
부산,848,1343,1655,2032,1804,1697,1178,868,1186,1240
대구,651,657,930,1282,1003,1011,593,465,704,933
인천,1138,1531,2325,2260,2048,1904,1058,870,1207,1325
광주,194,207,205,358,715,624,335,373,433,476
대전,514,934,1295,1434,1014,917,678,626,640,671
울산,502,806,1225,982,619,729,460,363,543,621
세종,0,0,0,117,83,74,87,83,141,182
경기남부,2407,3976,5883,6990,5953,5903,4112,3514,4299,4850
경기북부,872,1648,2814,2443,1851,2196,1535,1135,1347,1302
강원,448,402,1069,1345,1139,982,760,736,775,801
충북,498,584,704,976,1058,1171,767,678,665,704
충남,744,1127,1649,1281,1267,1335,1013,530,877,1065
전북,567,610,771,970,621,827,600,700,618,601
전남,370,445,407,616,406,664,640,487,496,557
경북,1085,1398,1985,2097,1372,1381,841,627,783,794
경남,307,433,755,1425,1205,1056,521,597,583,865
제주,302,394,488,565,474,514,409,385,327,344
